Func_id	Func_name	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
KO:K00001	alcohol dehydrogenase [EC:1.1.1.1]	7474	10219	10893	10735	7250	7453	8848	5712	5611	5636	13661	7807
KO:K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	92	116	49	76	115	50	19	40	10	14	111	42
KO:K00003	homoserine dehydrogenase [EC:1.1.1.3]	6889	8815	9296	8908	6140	7083	10707	7289	7350	5169	14431	7473
KO:K00004	"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"	1634	1623	1538	1838	1163	1224	2576	942	1609	991	3279	1198
KO:K00005	glycerol dehydrogenase [EC:1.1.1.6]	73	171	155	316	102	82	37	152	117	137	265	46
KO:K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	69	65	62	82	67	40	24	2	0	5	32	86
KO:K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	10206	11428	12750	12105	8277	8602	22122	13591	13874	8930	20650	7855
KO:K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	118	126	43	59	92	96	167	35	58	29	98	75
KO:K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	4790	5100	5719	4914	3991	4074	6175	4528	4854	3237	8530	5558
KO:K00011	aldehyde reductase [EC:1.1.1.21]	379	897	441	765	498	417	102	109	64	124	512	489
KO:K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	10976	13111	13927	13502	8973	10301	12809	10262	9076	7470	21606	11859
KO:K00013	histidinol dehydrogenase [EC:1.1.1.23]	6185	7682	7107	7800	5968	5955	13701	7158	7805	5902	14141	6476
KO:K00014	shikimate dehydrogenase [EC:1.1.1.25]	4382	5622	4795	5042	4297	4408	10055	4236	4945	3810	11022	5487
KO:K00015	glyoxylate reductase [EC:1.1.1.26]	5147	5687	6322	5432	4807	5231	8859	5961	6239	4476	11093	5087
KO:K00016	L-lactate dehydrogenase [EC:1.1.1.27]	848	1134	1202	760	1043	920	655	376	664	437	1933	1062
KO:K00018	glycerate dehydrogenase [EC:1.1.1.29]	711	941	614	940	804	657	3999	1104	1562	1047	1832	795
KO:K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	2920	3477	3328	3239	2945	2781	4929	2706	2268	3360	5476	3157
KO:K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	11418	16260	14124	15970	11466	11317	18563	10093	8998	8518	24384	10349
KO:K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	696	956	1097	516	689	691	887	429	833	420	2144	1339
KO:K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	2398	2899	3087	3073	2472	2455	2872	1463	1180	1825	3794	2605
KO:K00024	malate dehydrogenase [EC:1.1.1.37]	6599	8966	8441	8587	6293	6641	12642	6447	7474	5694	14612	9166
KO:K00025	malate dehydrogenase [EC:1.1.1.37]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00026	malate dehydrogenase [EC:1.1.1.37]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	4960	5759	5560	5743	3421	4098	8589	1815	4328	2305	9087	5108
KO:K00028	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	0	0	0	0	0	0	0	0	0	0	0	0
KO:K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	4953	7747	8326	7496	6567	6698	5137	4441	3020	3732	8601	7440
KO:K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	4074	4792	5025	4462	3345	3211	5419	3920	4701	3404	9764	5061
KO:K00031	isocitrate dehydrogenase [EC:1.1.1.42]	8521	11974	11799	12888	8587	9155	14464	6668	7070	6061	16745	11954
KO:K00032	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	41	62	114	60	41	28	44	28	41	42	70	105
KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	9922	12086	13021	12331	8289	9426	12833	6871	7899	6310	17939	11514
KO:K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	3027	2962	2844	3111	2734	2583	6179	4523	4090	3304	6511	2709
KO:K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	167	276	152	363	223	205	141	127	78	77	249	124
KO:K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	17087	22052	23255	23066	13987	16017	18551	11419	11255	9560	26281	18626
