taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * both	Gene Count   * both	KO %   * both	Not KO %   * both
3300005538	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen03_05102014_R1"	DOE Joint Genome Institute (JGI)	3300005538	7287361101	27974065	30.85	68.97
3300005537	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen01_05102014_R1"	DOE Joint Genome Institute (JGI)	3300005537	5736532851	21547805	29.56	70.25
3300005524	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen10_05102014_R1"	DOE Joint Genome Institute (JGI)	3300005524	2119834813	6752217	35.57	64.12
3300005533	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen06_05102014_R1"	DOE Joint Genome Institute (JGI)	3300005533	5299712782	19781663	30.63	69.18
3300005542	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen04_05102014_R1"	DOE Joint Genome Institute (JGI)	3300005542	7159547020	28698358	30.9	68.93
3300005534	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen07_05102014_R1"	DOE Joint Genome Institute (JGI)	3300005534	5837687664	22484327	31.32	68.49
3300005532	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen14_06102014_R1"	DOE Joint Genome Institute (JGI)	3300005532	2596973440	8470643	34.21	65.51
3300005529	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen16_06102014_R1"	DOE Joint Genome Institute (JGI)	3300005529	6348230963	19201918	32.43	67.26
3300005541	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen05_05102014_R1"	DOE Joint Genome Institute (JGI)	3300005541	7157212322	27556698	30.34	69.47
3300005607	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen15_06102014_R2"	DOE Joint Genome Institute (JGI)	3300005607	2376295219	8223469	34.44	65.31
3300005526	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire. - Coalmine Soil_Cen17_06102014_R1"	DOE Joint Genome Institute (JGI)	3300005526	6660698374	26806171	31.14	68.71
3300005531	Metagenome	Permanent Draft	"Surface soil microbial communities from  Centralia Pennsylvania, which are recovering from an underground coalmine fire."	"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen12_06102014_R2"	DOE Joint Genome Institute (JGI)	3300005531	1990026375	5940227	33.04	66.65
