	Raw Reads	Filtered Bad Quality	Quality Reads	Aligned Reads	Unaligned Read Pairs	Merged unaligned Read Pairs	Assembled Length	Number Contigs	Quality Data	
Cen01	158682204	3278464	155403740	117560304	18921718	15841012	2442332933	5053077	23465964740	
Cen03	176858232	3015054	173843178	121152174	26345502	20844682	2845550473	6333292	26250319878	
Cen04	170833664	2748172	168085492	107516192	30284650	22330214	2496895980	5976093	25380909292	
Cen05	169924506	3108066	166816440	113540190	26638125	20288755	2772844364	6316533	25189282440	
Cen06	151378006	2252260	149125746	110253138	19436304	14710081	2224580169	4630808	22517987646	
Cen07	141074096	2228224	138845872	96389438	21228217	17209834	2263903988	4843597	20965726672	
Cen10	243495152	5444020	238051132	222284304	7883414	4116428	1172388589	1893504	35945720932	
Cen12	164270130	2918574	161351556	150710318	5320619	3749463	1203652962	1585879	24364084956	
Cen14	159194652	2560362	156634290	139747572	8443359	5506011	1417430362	2226203	23651777790	
Cen15	132276426	4468064	127808362	108794258	9507052	5985621	1135483441	1836774	19299062662	
Cen16	340342946	9894022	330448924	292942258	18753333	10104230	4056878711	6613635	49897787524	
Cen17	160680710	5474590	155206120	78740494	38232813	20917054	1902783318	5169474	23436124120	
